NOM_POBLAD,hosp_in_10km
MOLIRIO,0
ARPAN,0
YANAMAYO,0
CHUPA,0
SUEROCOCHA,0
SHAPRAC,0
TOCRAC,0
HUEQUECHECANCHA,0
YURACORRAL,0
CURUPATA,0
PUCAYACU,0
JANCAPAMPA,0
PUMAHUAYIN,0
PACCHON,0
HUACHUPAMPA,0
PACON,0
SUCULO,0
CHINCA,0
PARAC,0
MIRAHUAY,0
PACCHO TINGO,0
PIEDRA BLANCA,0
JICHICA,0
AGUEN,0
LLACHI,0
RATACANCHA,0
CULIC,0
PACLA,0
YURUSICAN,0
GACHUS RAGRA,0
HUANACOPUNAHUAIN,0
YARUSYACU,0
HUACACHO,0
PATACANCHA,0
SHALAY,0
YACHAPICO,0
QUIMAHUASI,0
SULONA,0
COCHATAMA,0
MOROCOCHA,0
UCHCUMACHAY,0
CHAGAPATA,0
CHALGOCC,0
CHIURIC,0
JANQUIL,0
HUANCHAC,0
TICTIPAMPA,0
GINARA,0
AUCAR,0
TEMBLORPUQUIO,0
CHUCHUN,0
PITAGO,0
PUTUPCAGANA,0
MINAPATA,0
GALLUPATO,0
YACHAPACO,0
HUISCARANGRA,0
JAPRAPAMPA,0
CHIRISMACHAY,0
PASCUAIN,0
PUPUCHINCHAN,0
LIAU LIAU,0
PISCAY,0
ATOSHUAIN,0
LAMAHUANONGA,0
YURACCHALA,0
RIGUAN,0
JAPUR,0
CASHACOTO,0
HUAYLLURA,0
TUNTUL,0
CAPASH,0
EL MOLINO,0
SAN PABLO DE AYAPAMPA,0
PATARA,0
CUCOL CANCHA,0
CARACANCHA,0
HUANCAPAJATUN,0
URUCUTUY,0
MOYACUNA,0
PISAQUIL,0
TANQUIS,0
CUCHICANCHA,0
JELAYPACCHA,0
QUILCAIPACCHA,0
HUACRAYOC,0
TUNA CORRAL,0
YANUCO,0
ALELUYOC,0
PACAYACU,0
JATUS CASHAGIRCA,0
PALLCA GRANDE,0
UPIAC,0
COLLAN,0
PALLCA CHICO,0
TRANCA,0
GILGAY,0
YANAMA,0
QUISTUPACANCHA,0
RICARI,0
HUAYCHAHUAY,0
TORRECILLA ALTA,0
LA VEGA BAJA,0
CHUNCACOCHA,0
JUTJO,0
CANTA,0
HUANCAPAMPA,0
CHALAMPAMPA,0
GUILLAYCANCHA,0
RANTAU,0
COTACANCHA,0
CARCAS,0
YERHUA CARPO,0
PUCUS,0
ACOMAYO,0
MINA BLANCA,0
CANTAMARCA,0
BUNABAMBA,0
CHANICANCHA,0
ANTAYCOCHA,0
COPO,0
GATO,0
QUINAN,0
HUACUA SHENGA,0
HUANCACANCHA,0
CANCHAPUQUIO,0
SIRHUAYO,0
LLACTAPAMPA,0
CUTUHUASI,0
HUALCAYAN,0
OBRAJILLO,0
LAGUNA,0
HUACHAUYANE,0
ARAPA,0
MARANAYOC,0
CURCUY ALTO,0
YANAPACCHA,0
GASGAS,0
OGANE,0
QUINTA ROSADA,0
QUISCAHUACTA,0
CANCAY,0
MATUPAMPA,0
ANTAMARCA,0
INGENIO ALTO,0
BALCON,0
TAMBO,0
AYARA,0
HIJADERO,0
SOCOS,0
HUANCARUME,0
CHACCHA,0
PARIAMARCA,0
CIPA,0
LUCPUCRU,0
CHIRINGANO,0
YUNCUMO,0
AYRAHUANCA,0
CUSME,0
HUAMANTANGA,0
AMA,0
MARCO,0
QUIPAN,0
SHIMAY,0
HUAROS,0
YANACOCHA,0
LICHIGAN,0
YAMECOTO,0
PILCOCANCHAN,0
YANAUYA,0
CANCAN,0
ORCUPA,0
JURAN,0
CUREC,0
COLAC,0
PUCAHUANCA,0
HOSPITAL,0
COLLATAYJO,0
CHUCHUN,0
ATOJAIN,0
PISCHAPAJCHE,0
CORRAL BLANCO,0
CERRO AZUL,0
YANA HUASILLAN,0
PACO PACO,0
CORRAL NEGRO,0
HACIENDA VIEJA,0
MINA RAGRA,0
RACHAGOGO,0
PUMA MACHAY,0
PUCRO COCHA,0
OXAMACHAY,0
ACHAMARCA,0
YANACALLAPA,0
CHONTA,0
SARAINAS,0
IGUDERO,0
PIMACOCHA,0
PATOCOCHA,0
GACHIRI,0
ANTA PIRURO,0
PAMPA CANCHA,0
HUAYRO PATA,0
PIEDRA RAJADA,0
CURUPITE,0
JIUJO,0
RIMUA,0
GOÑAS,0
JASHTACHIN,0
CULLHUAY,0
HUACOS,0
HUANCAYANGA,0
ACOCHACA,0
HUANCHAN,0
SAN BUENAVENTURA,0
YANACOCHA,0
TAPANE,0
CARCAPATA,0
TINGO,0
GALLARETA,0
LUCLE,0
SAN MIGUEL,0
RUMICHACA,0
HUAMANMAYO,0
HUATIMPAMPA,0
